Date,Bond Code,ISIN Code,Ticker,ISSUER,ISSUER_INDUSTRY,PAYMENT_RANK,DAYS_TO_NEXT_COUPON,NXT_CPN_DT,Maturity,Coupon,Companion Bond,BP Spread,MTM,All in price,Clean Price,Accrued Interest,Year High Yield,Year Low Yield,Return (YTD),Duration,Modified Duration,Delta,Rand per Basis Point,Convexity,Yield Volatility,Yield / Price Indicator,Last Trade Date,Last MTM Change Date,Index Ratio,Base CPI,Reference CPI,MTM Process Methodology,MTM Change
2025/08/19,TN25,ZAG000079344,ZAG000079344 Corp,TRANSNET SOC LTD,TRANS - RAIL,Sr Unsecured,167,2024/02/19,19-Aug-25,9.5,R186,135,10.175,99.15269,98.81433,0.33836,11.325,9,0.06,1.831809308,1.743127687,-1.728357977,172.8357977,3.993880928,,Rate,25-Aug-23,15-May-23,,,,Illiquid Methodology,
2026/04/02,ES26,ZAG000038290,ZAG000038290 Corp,ESKOM HOLDINGS SOC LTD,UTILITY - ELEC,Sr Unsecured,27,2023/10/02,02-Apr-26,7.85,R186,70,9.525,99.48793,96.21889,3.26904,10.675,8.78,0,2.308330497,2.203393864,-2.192110981,219.2110981,6.307574967,,Rate,25-Aug-23,02-Mar-23,,,,Official Market Maker,
2026/10/01,FRX26,ZAG000112160,ZAG000112160 Corp,FIRSTRAND BANK LTD,BANK,Sr Unsecured,26,2023/10/01,01-Oct-26,9.5,R186,27,9.095,105.0244,101.04221,3.98219,10.57,8.41,0,2.643255797,2.528282165,-2.655313288,265.5313288,8.314367067,,Rate,25-Aug-23,09-Aug-23,,,,Illiquid Methodology,
2026/12/21,R186,ZAG000016320,ZAG000016320 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,107,2023/12/21,21-Dec-26,10.5,,,8.825,106.74917,104.67794,2.07123,9.975,7.96,0.01,2.834202143,2.714428007,-2.897629478,289.7629478,9.418642796,,Rate,28-Aug-23,27-Aug-23,,,,Benchmark Bond,
2027/11/14,TN27,ZAG000046681,ZAG000046681 Corp,TRANSNET SOC LTD,TRANS - RAIL,Sr Unsecured,70,2023/11/14,14-Nov-27,8.9,R186,253,11.355,94.60467,91.92248,2.68219,12.495,10.395,0.03,3.468877273,3.282512619,-3.105410168,310.5410168,13.77368242,,Rate,25-Aug-23,24-Jul-23,,,,Illiquid Methodology,
2030/01/31,R2 030,ZAG000106998,ZAG000106998 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,148,2024/01/31,31-Jan-30,8,,,10.14,90.76847,90.0671,0.70137,11.32,9.465,0,5.022752028,4.780386436,-4.339083496,433.9083496,28.8783538,,Rate,28-Aug-23,27-Aug-23,,,,PD Call Down Rates,
2031/02/21,FRX31,ZAG000084195,ZAG000084195 Corp,FIRSTRAND BANK LTD,BANK,Sr Unsecured,169,2024/02/21,21-Feb-31,9.5,R213,-27,10.37,95.82995,95.54365,0.2863,11.69,9.97,-0.01,5.448151925,5.179590175,-4.963598604,496.3598604,34.93449676,,Rate,25-Aug-23,20-Jul-23,,,,Illiquid Methodology,
2031/02/28,R213,ZAG000077470,ZAG000077470 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,176,2024/02/28,28-Feb-31,7,,,10.64,81.53443,81.51525,0.01918,11.73,9.9,0.01,5.761596489,5.470562561,-4.460391932,446.0391932,37.81509734,,Rate,28-Aug-23,29-Jul-10,,,,PD Call Down Rates,
2032/03/31,R2 032,ZAG000107004,ZAG000107004 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,25,2023/09/30,31-Mar-32,8.25,,,10.93,88.77727,85.29645,3.48082,11.945,10.145,0.01,5.863987108,5.56012621,-4.93612817,493.612817,42.18726241,,Rate,28-Aug-23,27-Aug-23,,,,PD Call Down Rates,
2033/09/15,ES33,ZAG000029034,ZAG000029034 Corp,ESKOM HOLDINGS SOC LTD,UTILITY - ELEC,Sr Unsecured,10,2023/09/15,15-Sep-33,7.5,R209,75,12.445,75.54804,72.05489,3.49315,13.24,11.65,0.02,6.35447538,5.982231052,-4.51945863,451.945863,50.97123584,,Rate,28-Aug-23,02-Mar-23,,,,Official Market Maker,
