Americas,Region,COUNTRY_FULL_NAME,YLD_YTM_MID,VOLATILITY_30D
EI240045 Corp,Americas,ARGENTINA,17.98508086,3.003268242
ZM833991 Corp,Americas,CANADA,3.570583977,10.34383488
91282CHC Govt,Americas,UNITED STATES,4.053765997,7.996796131
BT849229 Corp,Americas,CHILE,5.165225172,6.350915909
BS197652 Corp,Americas,PERU,5.29444488,7.723515511
BZ864048 Corp,Americas,CHILE,5.3168,3.686672449
BT316586 Corp,Americas,MEXICO,5.712103609,6.930179119
ZN384489 Corp,Americas,PANAMA,6.057336446,5.581969261
ZK086847 Corp,Americas,BRAZIL,6.323432099,4.718146324
AZ176124 Corp,Americas,PERU,6.797926932,6.761573315
EC830958 Corp,Americas,COLOMBIA,8.403386702,6.090871811
ZN793581 Corp,Americas,MEXICO,8.928786483,5.141952991
AW627458 Corp,Americas,COLOMBIA,10.30763742,10.84099674
BT274981 Corp,Americas,BRAZIL,10.6627,15.35124779
EC915295 Corp,EMEA,SWITZERLAND,1.033565505,6.187506199
BW183328 Corp,EMEA,SWEDEN,2.61027647,6.767427921
ZM198538 Corp,EMEA,GERMANY,2.627149159,8.524411201
ZM652763 Corp,EMEA,DENMARK,2.913706049,8.397392273
ZM660522 Corp,EMEA,NETHERLANDS,2.986776761,8.866391182
BT494592 Corp,EMEA,IRELAND,3.041242832,9.120503426
ZL984408 Corp,EMEA,FRANCE,3.177316821,8.874441147
BV413229 Corp,EMEA,SNAT,3.221159116,7.841826439
ZK372958 Corp,EMEA,FINLAND,3.233589599,8.938570023
ZM205134 Corp,EMEA,AUSTRIA,3.257673892,8.432059288
ZM326915 Corp,EMEA,BELGIUM,3.292941321,8.84522438
BV750432 Corp,EMEA,PORTUGAL,3.344265059,8.417453766
ZM200087 Corp,EMEA,SLOVENIA,3.43098926,9.543930054
ZM887876 Corp,EMEA,NORWAY,3.745329778,5.677426338
BR705021 Corp,EMEA,ISRAEL,3.84,7.4694314
BO277226 Corp,EMEA,CROATIA,4.008303999,5.348610401
ZM480429 Corp,EMEA,GREECE,3.967384204,8.811077118
AW984753 Corp,EMEA,CYPRUS,4.040021293,6.611455441
ZK143322 Corp,EMEA,CZECH,4.398025441,5.866889477
ZK356093 Corp,EMEA,ITALY,4.357147965,10.53994465
ZN905632 Corp,EMEA,BRITAIN,4.660894282,8.560204506
ZM351403 Corp,EMEA,SAUDI ARABIA,5.056597802,5.778233051
ZN955459 Corp,EMEA,POLAND,5.729922058,6.467163563
BT439643 Corp,EMEA,HUNGARY,7.355217107,12.37835979
BR418731 Corp,EMEA,TURKEY,8.986829466,17.21121979
EK773288 Corp,EMEA,SOUTH AFRICA,12.04449,7.861126423
AM854915 Corp,EMEA,RUSSIA,10.09,2.118412256
EJ592529 Corp,Asia/Pacific,PHILIPPINES,6.649712,5.524579525
BZ501179 Corp,Asia/Pacific,THAILAND,2.567702457,2.66903019
ZK711146 Corp,Asia/Pacific,CHINA,2.638996091,2.304862261
EJ801575 Corp,Asia/Pacific,SINGAPORE,3.2064728,4.259453773
ZL960404 Corp,Asia/Pacific,SOUTH KOREA,3.758,6.725914955
BT458480 Corp,Asia/Pacific,MALAYSIA,3.914,2.405307055
BV865034 Corp,Asia/Pacific,AUSTRALIA,4.28651213,9.416810036
QJ109447 Corp,Asia/Pacific,NEW ZEALAND,4.882979179,6.543362141
ZM320328 Corp,Asia/Pacific,PHILIPPINES,5.070612629,4.652085781
ZM226890 Corp,Asia/Pacific,INDONESIA,5.125854615,5.655143261
ZM764311 Corp,Asia/Pacific,INDIA,7.15532079,2.243916273
BH785854 Corp,Asia/Pacific,PAKISTAN,14.74016651,6.351839066
