InstrumentCode,ISIN,InstrumentLongName,HoldingNominal,AssetMarketValue,Weight (%) Pre,Weight (%) Post,Maturity,Companion,Spread,MTM,Yield,Mod Duration,Term,Type,Issuer Type,Issuer,Exposure,Level of Subordination,Subordination,Quality,Liquidity,Interest Rate Score,Spread over Jibar,Instrument Score,Risk,Risk Duration,Reference, ,Level 2,Level 3,Level 4,Level 1 Max,Level 2 Max,Level 3 Max,Level 4 Max,GIR,Infrastructure
ABFN23,ZAG000144296,ABFN23 Jb3Mth+2.05% 250527,8500000,8801574.91,0.002861108,0.002861108,2027/05/25,JIBAR,110,,9.458,0.202739726,3.701369863,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.254295533,110,63.63794174,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.147240317,0.116876095,0.147240317,0.147240317,2.1(c)(i),No
ABFN29,ZAG000153727,ABSA F/R 29082025,6000000,6087033.029,0.001978698,0.001978698,2025/08/29,JIBAR,94.25,,9.3005,0.21369863,1.964383562,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.271777003,94.25,63.64668248,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.147240317,0.116876095,0.147240317,0.147240317,2.1(c)(i),No
ABFN30,ZAG000153735,ABSA F/R 29082028,1000000,1025148.491,0.000333243,0.000333243,2028/08/29,JIBAR,118,,9.538,0.21369863,4.967123288,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.271777003,118,63.64668248,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.147240317,0.116876095,0.147240317,0.147240317,2.1(c)(i),No
ABFN36,,ABSA F/R 09022026,10000000,10157851.31,0.00330199,0.00330199,2026/02/07,JIBAR,122,,9.578,0.153424658,2.408219178,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.181229773,122,63.60140886,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.147240317,0.116876095,0.147240317,0.147240317,2.1(c)(i),No
ABFN40,,ABSA F/R 16092024,2100000,2105576.618,0.000684455,0.000684455,2024/09/16,JIBAR,90,,9.258,0.010958904,1.01369863,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.011080332,90,63.51633414,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.147240317,0.116876095,0.147240317,0.147240317,2.1(c)(i),No
ABFN41,ZAG000162371,ABSA F/R 16092026,1000000,999747.0885,0.000324986,0.000324986,2026/09/16,JIBAR,134,,9.698,0.010958904,3.01369863,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.011080332,134,63.51633414,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.147240317,0.116876095,0.147240317,0.147240317,2.1(c)(i),No
ABFN42,ZAG000162389,ABSA F/R 16092029,1000000,1001924.459,0.000325693,0.000325693,2029/09/16,JIBAR,142,,9.778,0.010958904,6.016438356,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.011080332,142,63.51633414,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.147240317,0.116876095,0.147240317,0.147240317,2.1(c)(i),No
ABFN50,,ABSA F/R 30032026,2600000,2650136.666,0.000861474,0.000861474,2026/03/30,JIBAR,130,,9.658,0.049315068,2.547945205,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.051873199,130,63.53673057,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.147240317,0.116876095,0.147240317,0.147240317,2.1(c)(i),No
ABFN61,,Absa F/R 24022028,20000000,20276574.3,0.006591261,0.006591261,2028/02/24,JIBAR,110,,9.458,0.2,4.454794521,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.25,110,63.63579398,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.147240317,0.116876095,0.147240317,0.147240317,2.1(c)(i),No
ABGN01,,ABSA F/R 27062025,2900000,2973597.798,0.000966621,0.000966621,2025/06/27,JIBAR,95,,9.308,0.04109589,1.791780822,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.042857143,95,63.53222255,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.147240317,0.116876095,0.147240317,0.147240317,2.1(c)(i),No
