InstrumentCode,ISIN,InstrumentLongName,HoldingNominal,AssetMarketValue,Weight (%) Pre,Weight (%) Post,Maturity,Companion,Spread,MTM,Yield,Mod Duration,Term,Type,Issuer Type,Issuer,Exposure,Level of Subordination,Subordination,Quality,Liquidity,Interest Rate Score,Spread over Jibar,Instrument Score,Risk,Risk Duration,Reference,Level 1,Level 2,Level 3,Level 4,Level 1 Max,Level 2 Max,Level 3 Max,Level 4 Max,GIR,Infrastructure
ABFN23,ZAG000144296,ABFN23 Jb3Mth+2.05% 250527,8500000,8738593.276,0.002795565,0.002795565,2027/05/25,JIBAR,108,,9.717,0.010958904,3.509589041,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.011080332,108,64.81001833,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
ABFN29,ZAG000153727,ABSA F/R 29082025,6000000,6046152.755,0.001934226,0.001934226,2025/08/29,JIBAR,94.25,,9.5795,0.021917808,1.77260274,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.022408964,94.25,64.81568265,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
ABFN30,ZAG000153735,ABSA F/R 29082028,1000000,1018613.363,0.000325865,0.000325865,2028/08/29,JIBAR,118,,9.817,0.021917808,4.775342466,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.022408964,118,64.81568265,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
ABFN36,,ABSA F/R 09022026,10000000,10093118.68,0.003228891,0.003228891,2026/02/07,JIBAR,122,,9.857,0.21369863,2.216438356,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.271777003,122,64.94036667,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
ABFN40,,ABSA F/R 16092024,2100000,2147419.806,0.000686981,0.000686981,2024/09/16,JIBAR,62,,9.257,0.068493151,0.821917808,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.073529412,62,64.84124287,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
ABFN41,ZAG000162371,ABSA F/R 16092026,1000000,1018281.198,0.000325759,0.000325759,2026/09/16,JIBAR,134,,9.977,0.068493151,2.821917808,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.073529412,134,64.84124287,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
ABFN42,ZAG000162389,ABSA F/R 16092029,1000000,1020673.637,0.000326524,0.000326524,2029/09/16,JIBAR,142,,10.057,0.068493151,5.824657534,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.073529412,142,64.84124287,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
ABFN50,,ABSA F/R 30032026,2600000,2634885.581,0.000842927,0.000842927,2026/03/30,JIBAR,130,,9.937,0.106849315,2.356164384,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.119631902,130,64.86429412,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
ABFN61,,Absa F/R 24022028,20000000,20154244.57,0.006447548,0.006447548,2028/02/24,JIBAR,110,,9.737,0.008219178,4.263013699,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.008287293,110,64.80862181,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
ABGN01,,ABSA F/R 27062025,2900000,2954529.222,0.000945184,0.000945184,2025/06/27,JIBAR,95,,9.587,0.098630137,1.6,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.109422492,95,64.85918941,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
ABGN03,,ABSA F/R 27062029,500000,514562.7228,0.000164614,0.000164614,2029/06/27,JIBAR,124,,9.877,0.098630137,5.602739726,Bank Senior Debt - Floating,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.109422492,124,64.85918941,0,0,JIBAR,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,2.1(c)(i),No
ABN61,,ABSA ILB 2% 310125,450000,779765.04,0.000249455,0.000249455,2025/01/31,I2025,30,4.705,10.605,1.142769919,1.197260274,Bank Senior Debt - ILBs,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,-7.004276582,196.8,60.80233987,1,1.142769919,I2025,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,,No
ABN62,,ABSA Inflation Linked Bond 2.6% 31032028,5000000,11050780,0.003535257,0.003535257,2028/03/31,R210,77,5.15,11.05,4.007036488,4.361643836,Bank Senior Debt - ILBs,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,-0.332553331,241.3,64.1382015,1,4.007036488,R210,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,,No
ABSI2,,ABSA ILB 07/12/2023 ,6600000,22675450.38,0.007254108,0.007254108,2023/12/07,R197,69,4.69,10.59,0.035557043,0.043835616,Bank Senior Debt - ILBs,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,1.036867959,195.3,64.82291214,1,0.035557043,R197,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,,No
ABS19,,ABSA 9.67% 24022028,10000000,10244030,0.00327717,0.00327717,2028/02/24,R186,94,9.655,9.655,3.342160734,4.263013699,Bank Senior Debt - Fixed,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Senior Unsecured,0.6,-0.134122579,2.810191978,-0.42695618,101.8,64.09100008,1,3.342160734,R186,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,,No
ABCPI3,,ABCPI3 5.5% 071223,6330000,21742753.69,0.006955728,0.006955728,2023/12/07,R197,134.5,5.345,11.245,0.035548764,0.043835616,Bank Subordinated Debt - Tier 2,Bank,ABSA BANK LTD,ABSA BANK LTD,Bank Subordinated Debt - Tier 2,2,-0.134122579,2.810191978,1.036859058,260.8,78.82290769,1,0.035548764,R197,2.Oth,2.1,2.1 (c),2.1 (c) (i),0.146004721,0.116303508,0.146004721,0.146004721,,No
26FR0007,ZAM000529585,ABSA F/R 17122024,20000000,20342161.1,0.006507665,0.006507665,2024/12/17,JIBAR,85,0,9.487,0.125,1.073972603,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.142857143,85,63.87590674,0,0,JIBAR,1,1.1,,,0.040412315,0.040412315,0,0,,No
26FR0009,ZAM000532159,ABSA F/R 19012026,7000000,7060967.12,0.002258875,0.002258875,2026/01/19,JIBAR,100,0,9.637,0.125,2.164383562,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.142857143,100,63.87590674,0,0,JIBAR,1,1.1,,,0.040412315,0.040412315,0,0,,No
26NC0006,ZAM000541523,ABSA Bank NCD 6.815% 12052026,15000000,15024909.16,0.004806622,0.004806622,2026/05/12,0,0,6.815,6.815,2.239607426,2.473972603,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,-0.80670701,-182.2,62.90112466,0,0,FIXED,1,1.1,,,0.040412315,0.040412315,0,0,,No
26NC0011,ZAM000558170,ABSA NCD 6.445% 27112023,10000000,10317556.62,0.003300691,0.003300691,2023/11/27,0,0,6.445,6.445,0.011943876,0.016438356,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,1.012088256,-219.2,63.81052229,0,0,FIXED,1,1.1,,,0.040412315,0.040412315,0,0,,No
26NC0025,ZAM000584622,Absa NCD 8.49% 15072024,10000000,10296677.51,0.003294012,0.003294012,2024/07/15,0,0,8.49,8.49,0.60071433,0.649315068,Money Market,Bank,ABSA BANK LTD,ABSA BANK LTD,Money Market,0.5,-0.134122579,2.810191978,2.504472552,-14.7,64.55671444,0,0,FIXED,1,1.1,,,0.040412315,0.040412315,0,0,,No
